permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname,estprojectcost,applieddate,housingunitsremoved,housingunitsadded,issueddate,expiresdate,completeddate,zoning,dwellingunittype,standardplan,parentpermitnum
3009541-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow construction of five buildings accessory to UW Husky Stadium: Concessions  restrooms  kitchen  ticket office  offices and guest services. Review includes 300 cu. yds. of excavation and construction of a retaining wall in an environmentally critical area.  Final Environmental Impact Statement (November 1999) and the North Link Final Supplemental Environmental Impact Statement (April 2006) prepared by Sound Transit.  Addendum to FEIS,0.0,Completed,3009541-LU,3900 MONTLAKE BLVD NE,SEATTLE,WA,98195,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009541-EX'},47.65064965,-122.30299334,"{'latitude': '47.65064965', 'longitude': '-122.30299334'}",0,0,0,N/A,,,,,,,,,,,,
3009549-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 19 275 sq. ft. two-story classroom addition and exterior alterations (canopies and covered walkway) to an existing institution in an environmentally critical area (Ingraham High School).  Project will include tree planting and removal  landscaping and re-striping and re-configuring existing parking lot to provide 160 surface parking spaces. Review includes demolition of seven portables  and one modular structure (totaling 12 134 s,0.0,Completed,3009549-LU,1819 N 135TH ST,SEATTLE,WA,98133,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009549-EX'},47.72570521,-122.33685276,"{'latitude': '47.72570521', 'longitude': '-122.33685276'}",0,0,0,N/A,,,,,,,,,,,,
3009984-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A)5 525 B)9 550Existing structures are to remain.,0.0,Completed,3009984-LU,2115 NW 96TH ST,SEATTLE,WA,98117,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009984-EX'},47.69873136,-122.38377197,"{'latitude': '47.69873136', 'longitude': '-122.38377197'}",0,0,0,N/A,,,,,,,,,,,,
3007882-EX-002,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to construct 14 single family residences in an environmentally critical area (clustered housing).  Accessory parking for 28 vehicles will be located within the structures.,0.0,Completed,3007882-LU,3601 FAUNTLEROY AVE SW,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3007882-EX-002'},47.57171106,-122.37376642,"{'latitude': '47.57171106', 'longitude': '-122.37376642'}",0,0,0,N/A,INHABIT LLC,,,,,,,,,,,
3008258-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: cancelled 1/25/2011   Design review  early design guidance meeting for a six story  113 unit residential building with 9 500 sq.ft of retail at grade. Parking for 280 vehicles will be located below grade.,0.0,Canceled,3008258-LU,2134 WESTERN AVE,SEATTLE,WA,98121,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3008258-EX'},47.61192309,-122.34544617,"{'latitude': '47.61192309', 'longitude': '-122.34544617'}",,,0,N/A,,,,,,,,,,,,
3008503-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow change of use from outdoor storage (gravel pit) to public park (Dexter Pit Park) in an environmentally critical area. Project also includes 500 cu. yds. of grading. Determination of Non-Significance prepared by Seattle Parks Dept.,0.0,Completed,3008503-LU,2401 6TH AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3008503-EX'},47.64042202,-122.34487151,"{'latitude': '47.64042202', 'longitude': '-122.34487151'}",0,0,0,N/A,SEATTLE PARKS DEPT,,,,,,,,,,,
3008686-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a temporary staging area including grading and excavation of 6 000 cubic yds. of material for light rail transit facility.(Pine St Staging)  Review includes related project (Howell St. staging area) under #3008963.  Final Environmental Impact Statement (dated November 1999) and the North Link Final Supplemental EIS (dated April 2006) prepared by Sound Transit.,0.0,Completed,3008686-LU,919 PINE ST,SEATTLE,WA,98101,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3008686-EX'},47.61355319,-122.33100153,"{'latitude': '47.61355319', 'longitude': '-122.33100153'}",0,0,0,N/A,,,,,,,,,,,,
3008996-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: PROJECT CANCELLED 3/2/2011 -- Demolition of exisitng 800 sf single story over basement residence. Construction of new 2 400 sf  Single Family wood framed residence over existing garage and basement. Excavation and grading for concrete foundation and associated soil retention.,0.0,Canceled,3008996-LU,2270 LOTUS AVE SW,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3008996-EX'},47.58303727,-122.37511644,"{'latitude': '47.58303727', 'longitude': '-122.37511644'}",,,0,N/A,,,,,,,,,,,,
3010002-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 1 500 sq. ft. addition to the athletic center of an existing institution in an environmentally critical area (Lakeside School).,0.0,Completed,3010002-LU,14050 1ST AVE NE,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010002-EX'},47.73143645,-122.32785791,"{'latitude': '47.73143645', 'longitude': '-122.32785791'}",0,0,0,N/A,,,,,,,,,,,,
3010263-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Council Land Use action to allow a new public utility service (stormwater facility) to collect and manage stormwater in Washington Park (The Arboretum).  Determination of Non-Significance prepared by Seattle Public Utilities.,0.0,Completed,3010263-LU,2300 ARBORETUM DR E,SEATTLE,WA,98112,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010263-EX'},47.63918609,-122.29433356,"{'latitude': '47.63918609', 'longitude': '-122.29433356'}",0,0,0,N/A,CITY OF SEA SPU ENGINEER SVCS,,,,,,,,,,,
