permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname,estprojectcost,applieddate,housingunitsremoved,housingunitsadded,issueddate,expiresdate,completeddate,zoning,dwellingunittype,standardplan,parentpermitnum
3011889-EX-001,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to grade 9 488 cu. yds. of material (3 564 cu. yds. of cut and 5 924 of fill) and allow a city park development on top of Seattle Public Utilities lidded reservoir (West Seattle Reservoir). Project includes restrooms  lighting  parking  access drive  pathways and play area. Determination of Non-Significance prepared by Seattle Parks and Recreation.,0.0,Completed,3011889-LU,8800 8TH AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011889-EX-001'},47.52354629,-122.34517945,"{'latitude': '47.52354629', 'longitude': '-122.34517945'}",0,0,0,N/A,,,,,,,,,,,,
3011917-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANCELLED PENDING FEES 4/2/17 MH Land Use Application to allow a five-story structure with 114 residential units and 9 442 sq. ft. of commercial space at grade (10 live-work units).  Parking for 74 vehicles will be located within the structure.,0.0,Canceled,3011917-LU,600 ELLIOTT AVE W,SEATTLE,WA,98119,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011917-EX'},47.62490138,-122.36553986,"{'latitude': '47.62490138', 'longitude': '-122.36553986'}",,,0,N/A,,,,,,,,,,,,
3011981-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: CANCELLED DUE TO NO ACTIVITY 1/29/15 MH - construciton of a six-story building with underground parking containing six dwelling units,0.0,Canceled,3011981-LU,3220 FUHRMAN AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011981-EX'},47.65076154,-122.32021194,"{'latitude': '47.65076154', 'longitude': '-122.32021194'}",,,0,N/A,,,,,,,,,,,,
3011515-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 23 300 sq. ft. second-story addition to an existing major institution (North Seattle Community College Technology Building) on a site with an environmentally critical area.,0.0,Completed,3011515-LU,9600 COLLEGE WAY N,SEATTLE,WA,98103,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011515-EX'},47.69936679,-122.33402554,"{'latitude': '47.69936679', 'longitude': '-122.33402554'}",0,0,0,N/A,NORTH SEATTLE COMMUNITY COLLGE,,,,,,,,,,,
3011631-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,"Exception/Exemption Request for: Land Use Application to establish a public park (""Crown Hill Park""). The project includes approximately 2 400 cu. yds. of grading and fill on an existing playfield (once part of the former Crown Hill Elementary School).Determination of Non-Significance by Seattle Parks Department",0.0,Completed,3011631-LU,9089 HOLMAN RD NW,SEATTLE,WA,98117,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011631-EX'},47.69643870,-122.37344291,"{'latitude': '47.6964387', 'longitude': '-122.37344291'}",0,0,0,N/A,SEATTLE PARKS DEPT,,,,,,,,,,,
3011812-EX-001,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow an 11 632 sq. ft. expansion of an existing religious facility (New Parish Hall/Gymnasium for Our Lady of Guadalupe Church).  Parking for 53 vehicles to be relocated on the site.  Project includes landscaping  outdoor amenities and 500 cu. yds. of grading.,0.0,Completed,3011812-LU,3410 SW MYRTLE ST,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011812-EX-001'},47.53943307,-122.37599483,"{'latitude': '47.53943307', 'longitude': '-122.37599483'}",0,0,0,N/A,,,,,,,,,,,,
3011957-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a five-story  59 111 sq. ft. multifamily structure containing 62 residential units.  Parking for 36 vehicles to be provided below grade.  Existing structures to be demolished.,0.0,Completed,3011957-LU,4600 36TH AVE SW,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011957-EX'},47.56189182,-122.37707250,"{'latitude': '47.56189182', 'longitude': '-122.3770725'}",0,0,0,N/A,,,,,,,,,,,,
3011988-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow the expansion of an existing institution (Seattle Preparatory School). Project includes parking for nine (9) school buses with new access off Boyer Avenue East and parking for two school buses with access off Delmar Drive East  in an environmentally critical area.  Project includes a fenced practice area and 3 900 cubic yards of grading.,0.0,Completed,3011988-LU,2555 BOYER AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011988-EX'},47.64242664,-122.31668723,"{'latitude': '47.64242664', 'longitude': '-122.31668723'}",0,0,0,N/A,,,,,,,,,,,,
3011547-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Council Land Use Action to allow 20 050 cu. yds. of grading (13 500 cu. yds. of cut and 6 550 cu. yds. of fill) to replace the existing grass field with a synthetic surface  conversion of an existing gravel running track to a rubberized surface  installation of nine light poles (not to exceed 85' in height)  and 57 additional back-in angle parking spaces to be provided adjacent to 16th Ave S.  Project includes fencing  retaining walls  and pedestrian pathways.,0.0,Completed,3011547-LU,4300 16TH AVE S,SEATTLE,WA,98108,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011547-EX'},47.56510404,-122.31221901,"{'latitude': '47.56510404', 'longitude': '-122.31221901'}",0,0,0,N/A,SEATTLE PARKS DEPT,,,,,,,,,,,
3011549-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a three-story structure containing 39 low income residential units. Project includes the removal of 31 parking stalls and a carport. One existing stall to remain.,0.0,Completed,3011549-LU,6950 SAND POINT WAY NE,SEATTLE,WA,98115,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011549-EX'},47.67903244,-122.26290982,"{'latitude': '47.67903244', 'longitude': '-122.26290982'}",0,0,0,N/A,,,,,,,,,,,,
3011716-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow an expansion of an existing institution (Seattle Waldorf School) in an environmentally critical area. Project includes change of use from single family to an institution (3 800 sq. ft.) and an ADA accessible ramp.  No change in parking.,0.0,Completed,3011716-LU,2728 NE 100TH ST,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011716-EX'},47.70158658,-122.29734415,"{'latitude': '47.70158658', 'longitude': '-122.29734415'}",0,0,0,N/A,,,,,,,,,,,,
3011894-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to change the use from automotive sales and service to general retail sales and service (Trader Joes).  Project includes 29 parking stalls within the existing structure and 24 surface parking stalls in an environmentally critical area.  Related Project #3011929 to allow surface parking stalls accessory to Trader Joes on adjacent site.,0.0,Completed,3011894-LU,4545 FAUNTLEROY WAY SW,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3011894-EX'},47.56197728,-122.38110037,"{'latitude': '47.56197728', 'longitude': '-122.38110037'}",0,0,0,N/A,,,,,,,,,,,,
3012111-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Land Use Application to allow a four-story 3 900 sq. ft. single family residence in an environmentally critical area.,0.0,Completed,3012111-LU,2310 PERKINS LN W,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3012111-EX'},47.63810506,-122.40996422,"{'latitude': '47.63810506', 'longitude': '-122.40996422'}",0,0,0,N/A,,,,,,,,,,,,
3012661-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow construction of a three-story structure containing 11 residential units. Parking for 12 vehicles to be located below grade.,0.0,Completed,3012661-LU,2023 13TH AVE W,SEATTLE,WA,98119,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3012661-EX'},47.63741939,-122.37413784,"{'latitude': '47.63741939', 'longitude': '-122.37413784'}",0,0,0,N/A,,,,,,,,,,,,
3012948-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide four parcels into five parcels of land.  Proposed parcel sizes are: A) 3 429 sq. ft.  B) 2 912 sq. ft.  C) 2 888 sq. ft.  D) 2 863 sq. ft. and E) 3 699 sq. ft.,0.0,Completed,3012948-LU,4431 RENTON AVE S,SEATTLE,WA,98108,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3012948-EX'},47.56368380,-122.29244605,"{'latitude': '47.5636838', 'longitude': '-122.29244605'}",0,0,0,N/A,,,,,,,,,,,,
3013102-EX,Industrial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 13 story structure containing 307 000 sq. ft. of office above 26 700 sq. ft. of retail. Parking for 468 vehicles to be provided below grade. Review includes demolition of 22 410 sq. ft. warehouse structure. Addendum to South Lake Union Height and Density Alternatives Environmental Impact Statement has been prepared. (See Notice of Availability dated June 13  2013),0.0,Completed,3013102-LU,400 FAIRVIEW AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013102-EX'},47.62251638,-122.33391663,"{'latitude': '47.62251638', 'longitude': '-122.33391663'}",0,0,0,N/A,,,,,,,,,,,,
3013120-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a change of use from single family to religious facility (Khmer Buddhist Society). Surface parking for 37 vehicles.,0.0,Completed,3013120-LU,3006 S JUNEAU ST,SEATTLE,WA,98108,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013120-EX'},47.55016191,-122.29398706,"{'latitude': '47.55016191', 'longitude': '-122.29398706'}",0,0,0,N/A,,,,,,,,,,,,
3013273-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)6 199 sq. ft. and B)5 801 sq. ft. Existing structures to remain.,0.0,Completed,3013273-LU,3712 W TILDEN ST,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013273-EX'},47.65367040,-122.40533886,"{'latitude': '47.6536704', 'longitude': '-122.40533886'}",0,0,0,N/A,,,,,,,,,,,,
3013733-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Shoreline exemption for Port of Seattle  Pier 69 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.,0.0,Completed,3013733-LU,2711 ALASKAN WAY,SEATTLE,WA,98121,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013733-EX'},47.61400512,-122.35376232,"{'latitude': '47.61400512', 'longitude': '-122.35376232'}",0,0,0,N/A,PORT OF SEATTLE ENGINEERING,,,,,,,,,,,
3013348-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow six single family residences with attached garages in an environmentally critical area. Existing structure to be demolished.,0.0,Completed,3013348-LU,2904 S JACKSON ST,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013348-EX'},47.59934557,-122.29468967,"{'latitude': '47.59934557', 'longitude': '-122.29468967'}",0,0,0,N/A,,,,,,,,,,,,
3013915-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow 18 single family dwelling units and the removal of 10 exceptional trees in an environmentally critical area. Parking will be located within attached two-car garages (36 parking spaces total). Existing structure to be demolished. Environmental Review includes future full unit lot subdivision.,0.0,Completed,3013915-LU,2768 SW HOLDEN ST,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013915-EX'},47.53397273,-122.36785588,"{'latitude': '47.53397273', 'longitude': '-122.36785588'}",0,0,0,N/A,,,,,,,,,,,,
3014104-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANCELLED DUE TO LACK OF ACTIVITY:1/28/15 MPshort plat,0.0,Canceled,3014104-LU,6330 22ND AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014104-EX'},47.54557575,-122.36088715,"{'latitude': '47.54557575', 'longitude': '-122.36088715'}",,,0,N/A,,,,,,,,,,,,
3014209-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a five story mixed use structure  with 105 residential units  and approx.8 900 sq. ft. of retail use at grade. Parking for 86 vehicles will be located at and below grade. All existing structures to be demolished.,0.0,Completed,3014209-LU,101 NW 85TH ST,SEATTLE,WA,98117,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014209-EX'},47.69034191,-122.35843535,"{'latitude': '47.69034191', 'longitude': '-122.35843535'}",0,0,0,N/A,,,,,,,,,,,,
3014340-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 451 sq. ft. addition of an attached garage in the required front and side setbacks in an environmentally critical area (steep slope).,0.0,Completed,3014340-LU,628 11TH AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014340-EX'},47.62512302,-122.31751947,"{'latitude': '47.62512302', 'longitude': '-122.31751947'}",0,0,0,N/A,,,,,,,,,,,,
3014740-EX,Industrial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: Y) 166 834.8 sq. ft. and Z) 25 264.8 sq. ft.,0.0,Completed,3014740-LU,2920 SW FLORIDA ST,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014740-EX'},47.58185004,-122.37129124,"{'latitude': '47.58185004', 'longitude': '-122.37129124'}",0,0,0,N/A,,,,,,,,,,,,
3014642-EX-002,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to subdivide one development site into seven parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 5 002 sq. ft.  B) 5 001 sq. ft.  C) 5 001 sq. ft.  D) 5 000 sq. ft.  E) 5 000 sq. ft.; and  F) 5 000 sq. ft.,0.0,Completed,3014642-LU,5028 PUGET BLVD SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014642-EX-002'},47.55658421,-122.36100974,"{'latitude': '47.55658421', 'longitude': '-122.36100974'}",0,0,0,N/A,,,,,,,,,,,,
3014681-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: I) 19 506 sq. ft. and J) 8 452 sq. ft. Existing structures to remain.,0.0,Completed,3014681-LU,4827 21ST AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014681-EX'},47.55820877,-122.36063895,"{'latitude': '47.55820877', 'longitude': '-122.36063895'}",0,0,0,N/A,INHABIT LLC,,,,,,,,,,,
3015610-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED DUE TO INACTIVITY-1/23/15-RCInstallation of new landscaping  terraces  courtyard  walkways and paths.,0.0,Canceled,3015610-LU,9601 50TH AVE SW,SEATTLE,WA,98136,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015610-EX'},47.51747785,-122.39844896,"{'latitude': '47.51747785', 'longitude': '-122.39844896'}",,,0,N/A,,,,,,,,,,,,
3015988-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Land Use Application to allow 1 005 cu. yds. of grading for soil remediation. Project includes temporary installation of a groundwater treatment system with a 21 000 gallon sediment settling tank and two carbon canisters on the site.,0.0,Completed,3015988-LU,4 NICKERSON ST,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015988-EX'},47.64976539,-122.35685558,"{'latitude': '47.64976539', 'longitude': '-122.35685558'}",0,0,0,N/A,,,,,,,,,,,,
3016451-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to subdivide one parcel into three parcels of land in an environmentally critical area. Proposed parcel sizes are: X) 5 014 sq. ft.  Y) 5 014 sq. ft.; and Z) 26 342 sq. ft. Existing structures to be demolished.,0.0,Completed,3016451-LU,5944 21ST AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016451-EX'},47.54884269,-122.35956113,"{'latitude': '47.54884269', 'longitude': '-122.35956113'}",0,0,0,N/A,,,,,,,,,,,,
3016802-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: CANCELLED 1/15/2015  Streamlined Design Review- Demo existing 2 single family residences and parking lot.  Construct new 17 townhouse units with garages and shared driveway.,0.0,Canceled,3016802-LU,2803 3RD AVE W,SEATTLE,WA,98119,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016802-EX'},47.64507140,-122.36116116,"{'latitude': '47.6450714', 'longitude': '-122.36116116'}",,,0,N/A,,,,,,,,,,,,
3013900-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 13 882 sq. ft. and B) 9 601 sq. ft. Existing single family residence to remain  attached garage to be removed.,0.0,Completed,3013900-LU,5199 S SPENCER ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013900-EX'},47.54713064,-122.26675681,"{'latitude': '47.54713064', 'longitude': '-122.26675681'}",0,0,0,N/A,,,,,,,,,,,,
3013982-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a 15-story structure containing 283 hotel rooms with 11 000 sq. ft. of conference facilities and 7 300 sq. ft. of restaurant space. Existing structures to be demolished. Project includes 1 000 cu. yds. of grading.,0.0,Completed,3013982-LU,300 TERRY AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3013982-EX'},47.62103801,-122.33682408,"{'latitude': '47.62103801', 'longitude': '-122.33682408'}",0,0,0,N/A,,,,,,,,,,,,
3014072-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to demolish an existing 2 702 sq. ft. structure and allow surface parking for 85 vehicles.  Determination of Non-Significance prepared by Seattle City Light.,0.0,Completed,3014072-LU,1149 N 98TH ST,SEATTLE,WA,98103,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014072-EX'},47.70030612,-122.34246980,"{'latitude': '47.70030612', 'longitude': '-122.3424698'}",0,0,0,N/A,SEATTLE CITY LIGHT,,,,,,,,,,,
3014468-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a 4-story structure containing 4-live/work units and 58 residential units. Parking for 21 vehicles to be provided below grade. Project includes 7 965 cu. yds. of grading.,0.0,Completed,3014468-LU,1823 EASTLAKE AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014468-EX'},47.63569131,-122.32592687,"{'latitude': '47.63569131', 'longitude': '-122.32592687'}",0,0,0,N/A,,,,,,,,,,,,
3014707-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Shoreline Substantial Development Application to allow three new 3-story  single family structures in an environmentally critical area with parking for vehicles located within each. Four existing single family structures and a detached garage to be demolished.  Project includes alterations to existing dock.,0.0,Completed,3014707-LU,10202 RAINIER AVE S,SEATTLE,WA,98178,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014707-EX'},47.51133098,-122.24356004,"{'latitude': '47.51133098', 'longitude': '-122.24356004'}",0,0,0,N/A,,,,,,,,,,,,
3015561-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide two parcels into four parcels of land in an environmentally critical area. Proposed parcel sizes are:A) 5 477 sq. ft.  B) 5 097 sq. ft.  C) 5 011 sq. ft.; and  D) 5 115 sq. ft. Existing single family residences to remain and existing detached garage to be demolished.,0.0,Completed,3015561-LU,4631 S FRONTENAC ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015561-EX'},47.53959733,-122.27399341,"{'latitude': '47.53959733', 'longitude': '-122.27399341'}",0,0,0,N/A,,,,,,,,,,,,
3018398-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow one new live-work unit in an environmentally critical area. Parking for 1 vehicle to be provided.,0.0,Completed,3018398-LU,1828 E UNION ST,SEATTLE,WA,98122,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3018398-EX'},47.61310036,-122.30770093,"{'latitude': '47.61310036', 'longitude': '-122.30770093'}",0,0,0,N/A,,,,,,,,,,,,
3018510-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a three story  3-unit rowhouse structure in an environmentally critical area. Surface parking for three vehicles to be provided. To be considered with Project #3018927 for shared access.,0.0,Completed,3018510-LU,5047 SAND POINT PL NE,SEATTLE,WA,98105,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3018510-EX'},47.66605141,-122.28104323,"{'latitude': '47.66605141', 'longitude': '-122.28104323'}",0,0,0,N/A,,,,,,,,,,,,
3018639-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a 5-story building with 108 777 sq. ft. of office space above 14 555 sq. ft. of retail space at ground level. Parking for 152 vehicles to be provided at and below grade. Existing structures to be demolished.,0.0,Completed,3018639-LU,744 N 34TH ST,SEATTLE,WA,98103,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3018639-EX'},47.64963551,-122.34841921,"{'latitude': '47.64963551', 'longitude': '-122.34841921'}",0,0,0,N/A,,,,,,,,,,,,
3019352-EX-001,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow 4 live-work units and 4 residential units in an environmentally critical area. Parking for 4 vehicles to be provided.,0.0,Completed,3019352-LU,3402 15TH AVE W,SEATTLE,WA,98119,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3019352-EX-001'},47.65051362,-122.37586043,"{'latitude': '47.65051362', 'longitude': '-122.37586043'}",0,0,0,N/A,,,,,,,,,,,,
3020078-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Land Use Application to allow a single family residence in an environmentally critical area. Surface parking for five vehicles to be provided. Existing single family residence to be removed.,0.0,Completed,3020078-LU,6001 BEACH DR SW,SEATTLE,WA,98136,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3020078-EX'},47.54828516,-122.39821763,"{'latitude': '47.54828516', 'longitude': '-122.39821763'}",0,0,0,N/A,,,,,,,,,,,,
3020338-EX-002,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a six-story building consisting of 82 residential units above 26 250 sq. ft. of retail space  located at ground level. Parking to be provided for 140 vehicles at and below grade. Existing structure to be demolished.,0.0,Completed,3020338-LU,2925 E MADISON ST,SEATTLE,WA,98112,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3020338-EX-002'},47.62470687,-122.29410006,"{'latitude': '47.62470687', 'longitude': '-122.29410006'}",0,0,0,N/A,,,,,,,,,,,,
6063017-CN,N/A,N/A,Building,Addition/Alteration,New pool accessory to SFR per plans.,0.0,Closed,,2441 QUEEN ANNE AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6063017-CN'},47.64079168,-122.35745695,"{'latitude': '47.64079168', 'longitude': '-122.35745695'}",0,0,0,N/A,,10000.0000,,,,,,,,,,
6063091-CN,Commercial,Non-Residential,Building,New,PROJECT CANCELLED PER CUSTOMER REQUEST LFD 5/25/2010 PROJECT CANCELLED Construct new 2-story cold storage warehouse structure with accessory offices at south end of Port Of Seattle terminal 25 per plan (shell & core only this permit).  MUP approved under PTS #2409588,0.0,Canceled,,3225 EAST MARGINAL WAY S,SEATTLE,WA,98134,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6063091-CN'},47.57569062,-122.34092478,"{'latitude': '47.57569062', 'longitude': '-122.34092478'}",,,0,N/A,LYDIG CONSTRUCTION,23991375.0000,2006-06-28T00:00:00.000,0.0,0.0,,,,,,,
